country,n_total,share_total,n_outlier,share_outlier,over_representation
France,403,0.01750347463516331,121,0.04900769542324828,2.7998838199128246
Belgium,55,0.0023888116747741487,16,0.0064803564196030785,2.7127950219080232
Norway,141,0.006124044475330091,36,0.014580801944106925,2.380910524546935
Denmark,55,0.0023888116747741487,14,0.005670311867152693,2.37369564416952
Canada,233,0.010119874913134121,59,0.02389631429728635,2.361325066011678
China,528,0.022932592077831826,133,0.05386796273795059,2.3489696478760878
Finland,64,0.002779708130646282,16,0.0064803564196030785,2.3313082219522077
Sweden,73,0.0031706045865184155,18,0.007290400972053463,2.299372492884369
Germany,452,0.019631688672689367,100,0.04050222762251924,2.063104621196644
India,413,0.01793780403057679,91,0.036857027136492505,2.054712331212115
Netherlands,507,0.022020500347463515,106,0.04293236127987039,1.9496542132302486
Austria,71,0.0030837387074357193,14,0.005670311867152693,1.8387783159059663
South Africa,183,0.007948227936066712,32,0.012960712839206157,1.6306418164474459
Portugal,166,0.007209867963863794,28,0.011340623734305387,1.5729308485460676
Japan,95,0.004126129256428075,16,0.0064803564196030785,1.5705655389993818
Spain,1017,0.044171299513551074,171,0.0692588092345079,1.5679595121094494
Colombia,457,0.01984885337039611,75,0.030376670716889428,1.5303992704281448
Brazil,1407,0.06111014593467686,223,0.0903199675982179,1.4779864491694166
Mexico,240,0.010423905489923557,38,0.01539084649655731,1.4764952072363982
Costa Rica,77,0.0033443363446838082,12,0.004860267314702308,1.4532830474507266
Poland,972,0.04221681723419041,144,0.0583232077764277,1.381515983379086
United States,1303,0.05659312022237665,193,0.07816929931146213,1.3812509189156594
Croatia,164,0.007123002084781098,23,0.009315512353179425,1.3078070513390432
Slovenia,93,0.0040392633773453784,13,0.005265289590927501,1.3035271778657505
Czechia,165,0.0071664350243224465,23,0.009315512353179425,1.2998809479975943
United Kingdom,2284,0.0992008339124392,288,0.1166464155528554,1.1758612397937578
Singapore,97,0.004212995135510772,10,0.004050222762251924,0.9613642152380236
Chile,195,0.00846942321056289,20,0.008100445524503848,0.9564341423393672
Cuba,118,0.005125086865879083,11,0.0044552450384771165,0.8693013708974333
Algeria,54,0.0023453787352328004,5,0.002025111381125962,0.8634474896119287
"Iran, Islamic Republic of",1076,0.04673384294649062,96,0.038882138517618466,0.8319910383175163
Argentina,409,0.017764072272411398,35,0.014175779667881734,0.7980028143601687
Hungary,110,0.004777623349548297,9,0.0036452004860267314,0.7629735999116315
Australia,151,0.006558373870743572,11,0.0044552450384771165,0.6793216010986565
Slovakia,59,0.0025625434329395414,4,0.0016200891049007696,0.632219178834497
"Korea, Republic of",184,0.007991660875608061,11,0.0044552450384771165,0.5574867487277018
Serbia,203,0.008816886726893677,12,0.004860267314702308,0.5512452938606204
Pakistan,188,0.008165392633773454,10,0.004050222762251924,0.49602302594727815
Lithuania,100,0.004343293954134816,5,0.002025111381125962,0.46626164439044143
Iraq,185,0.00803509381514941,9,0.0036452004860267314,0.4536599783258349
Türkiye,695,0.03018589298123697,32,0.012960712839206157,0.42936324087752886
Peru,153,0.006645239749826269,7,0.0028351559335763467,0.42664464192589413
Switzerland,817,0.035484711605281445,32,0.012960712839206157,0.3652477997672981
Italy,544,0.0236275191104934,21,0.00850546780072904,0.3599814166249732
Ecuador,107,0.004647324530924253,4,0.0016200891049007696,0.3486068369274329
Nigeria,60,0.0026059763724808893,2,8.100445524503848e-4,0.3108410962602944
Russian Federation,648,0.028144544822793608,18,0.007290400972053463,0.25903424688357857
Romania,356,0.015462126476719944,9,0.0036452004860267314,0.23575026963561646
Ukraine,527,0.02288915913829048,12,0.004860267314702308,0.2123392687926109
Bosnia and Herzegovina,56,0.002432244614315497,1,4.050222762251924e-4,0.1665220158537291
Malaysia,117,0.005081653926337734,2,8.100445524503848e-4,0.15940569038989455
Bulgaria,105,0.004560458651841556,1,4.050222762251924e-4,0.08881174178865553
Indonesia,2707,0.11757296733842947,25,0.01012555690562981,0.08612147107322525
Egypt,365,0.015853022932592078,1,4.050222762251924e-4,0.025548583254270767
