journal_title,publisher,country,discipline,turnaround_weeks,p90_in_discipline,apc,review_primary
Annales de l’Institut Henri Poincaré D,EMS Press,Germany,Science,100,30,No,Anonymous peer review
Journal of Noncommutative Geometry,EMS Press,Germany,Science,100,30,No,Anonymous peer review
Rendiconti del Seminario Matematico della Università di Padova,EMS Press,Germany,Science,100,30,No,Anonymous peer review
Revista Internacional de Formação de Professores,Instituto Federal de São Paulo,Brazil,Education,100,30,No,Double anonymous peer review
پژوهش ادبیات معاصر جهان,University of Tehran,"Iran, Islamic Republic of",Language and Literature,100,35.40000000000009,Yes,Double anonymous peer review
RAM. Revista de Administração Mackenzie,Universidade Presbiteriana Mackenzie,Brazil,Social Sciences,100,32,No,Peer review
Journal of Mathematical Cryptology,De Gruyter,Poland,Science,100,30,Yes,Anonymous peer review
Journal of the European Mathematical Society,EMS Press,Germany,Science,100,30,No,Anonymous peer review
"Groups, Geometry, and Dynamics",EMS Press,Germany,Science,100,30,No,Anonymous peer review
Economia Aplicada,Universidade de São Paulo,Brazil,Social Sciences,100,32,No,Double anonymous peer review
"Engaging Science, Technology, and Society",Society for Social Studies of Science,United States,Technology,100,28,No,Double anonymous peer review
Neurología,Elsevier España,Spain,Medicine,100,28,Yes,Double anonymous peer review
Zeitschrift für Medizinische Physik,Elsevier,Germany,Medicine,100,28,Yes,Anonymous peer review
Journal of Combinatorial Algebra,EMS Press,Germany,Science,97,30,No,Anonymous peer review
L’Enseignement Mathématique,EMS Press,Germany,Science,96,30,No,Anonymous peer review
IIMB Management Review,Elsevier,United Kingdom,Social Sciences,93,32,Yes,Double anonymous peer review
Bulletin of Geography. Socio-Economic Series,Nicolaus Copernicus University in Toruń,Poland,Social Sciences,91,32,No,Double anonymous peer review
Ius Comitiãlis,Universidad Nacional Autónoma de México,Mexico,Law,90,25,No,Double anonymous peer review
Airea,University of Edinburgh,United Kingdom,Fine Arts,90,36,No,Double anonymous peer review
Proceedings of the International Conference on Applied Innovations in IT,Anhalt University of Applied Sciences,Germany,Science,90,30,Yes,Double anonymous peer review
Revue Belge d'Histoire Contemporaine,State Archives in Belgium,Belgium,History (General) and history of Europe,90,40,No,Double anonymous peer review
Revista Colombiana de Medicina Física y Rehabilitación,Asociación Colombiana de Medicina Física y Rehabilitación,Colombia,Medicine,90,28,No,Double anonymous peer review
Mantichora,Edizioni Museo Pasqualino,Italy,Fine Arts,90,36,No,Double anonymous peer review
Onco.News,Associação de Enfermagem Oncológica Portuguesa,Portugal,Medicine,90,28,No,Double anonymous peer review
Wildfowl,Wildfowl Press,United Kingdom,Science,90,30,No,Peer review
Latin American Journal of Central Banking,Elsevier,Netherlands,Social Sciences,89,32,Yes,Double anonymous peer review
Jurnal Fisika Flux,Lambung Mangkurat University Press,Indonesia,Science,88,30,Yes,Anonymous peer review
Psicologia Revista,Pontifícia Universidade Católica de São Paulo,Brazil,Philosophy. Psychology. Religion,88,30,No,Double anonymous peer review
Journal of Causal Inference,De Gruyter,Poland,Science,86,30,Yes,Anonymous peer review
Population (Éd. Française),Ined Editions,France,Social Sciences,84,32,No,Double anonymous peer review
Encounters in Translation,Association rencontres en traduction,France,Language and Literature,84,35.40000000000009,No,Double anonymous peer review
Estudios de Cultura Náhuatl,Universidad Nacional Autónoma de México (UNAM),Mexico,History (General) and history of Europe,84,40,No,Double anonymous peer review
Population (English Ed.),Ined Editions,France,Auxiliary sciences of history,84,40,No,Double anonymous peer review
Moduli,Cambridge University Press,United Kingdom,Science,83,30,Yes,Anonymous peer review
Journal of Spectral Theory,EMS Press,Germany,Science,82,30,No,Anonymous peer review
JAACAP Open,Elsevier,Netherlands,Medicine,82,28,Yes,Double anonymous peer review
Information Processing in Agriculture,Elsevier,Netherlands,Agriculture,82,28.600000000000023,Yes,Anonymous peer review
Corrosion Communications,Elsevier,Netherlands,Technology,81,28,Yes,Double anonymous peer review
Analytical Approaches to World Music,Analytical Approaches to World Music,United States,Music and books on Music,80,40,No,Double anonymous peer review
Revista Colombiana de Cardiología,Permanyer,Mexico,Medicine,80,28,No,Double anonymous peer review
Review (Institute of National Remembrance),Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu,Poland,History (General) and history of Europe,80,40,No,Double anonymous peer review
Journal of BRICS Studies,UJ Press,South Africa,Political science,80,32,No,Double anonymous peer review
To Improve the Academy,Michigan Publishing Services,United States,Education,80,30,No,Double anonymous peer review
Mathematical Statistics and Learning,EMS Press,Germany,Science,80,30,No,Anonymous peer review
دراسات: العلوم التربوية,"Deanship of Scientific Research (DSR), the University of Jordan",Jordan,Education,80,30,Yes,Double anonymous peer review
Hong Kong Journal of Radiology,Hong Kong Academy of Medicine Press,Hong Kong,Medicine,80,28,No,Double anonymous peer review
Kuangchan zonghe liyong,"Institute of Multipurpose Utilization of Mineral Resources, Chinese Academy of Geological Sciences",China,Technology,80,28,Yes,Anonymous peer review
Commentarii Mathematici Helvetici,EMS Press,Germany,Science,79,30,No,Anonymous peer review
Cadernos de Psicologia Social do Trabalho,Universidade de São Paulo (USP),Brazil,Philosophy. Psychology. Religion,78,30,No,Peer review
Revista Eletrônica Científica da UERGS,Universidade Estadual do Rio Grande do Sul (UERGS),Brazil,Science,78,30,No,Double anonymous peer review
"Annales de l'Institut Henri Poincaré. C, Analyse non Linéaire",EMS Press,Germany,Science,76,30,No,Anonymous peer review
Health and Social Care Delivery Research,NIHR Journals Library,United Kingdom,Medicine,75,28,No,Anonymous peer review
Journal of Portuguese Linguistics,Open Library of Humanities,United Kingdom,Language and Literature,75,35.40000000000009,No,Double anonymous peer review
Acta Universitatis Wratislaviensis. Slavica Wratislaviensia,Wydawnictwo Uniwersytetu Wrocławskiego,Poland,Language and Literature,75,35.40000000000009,No,Double anonymous peer review
Sustainable Aquatic Research,Erkan Can,Türkiye,Agriculture,75,28.600000000000023,No,Double anonymous peer review
Annales de la Faculté des Sciences de Toulouse,Université de Toulouse,France,Science,75,30,No,Anonymous peer review
Journal of Fractal Geometry,EMS Press,Germany,Science,73,30,No,Anonymous peer review
Gallia,CNRS Éditions,France,Auxiliary sciences of history,72,40,No,Peer review
Indonesian Journal of Educational Research and Technology,Universitas Pendidikan Indonesia,Indonesia,Education,72,30,No,Peer review
Лесной журнал,Northern Arctic Federal University,Russian Federation,Agriculture,72,28.600000000000023,No,Double anonymous peer review
Revista Brasileira de Segurança Pública,Fórum Brasileiro de Segurança Pública,Brazil,Social Sciences,72,32,No,Double anonymous peer review
BIOM,Université Clermont Auvergne,France,Science,72,30,No,Double anonymous peer review
Educação e Pesquisa,"Universidade de São Paulo, Faculdade de Educação",Brazil,Education,72,30,No,Peer review
