discipline,n,median_weeks,mean_weeks,sd_weeks
Auxiliary sciences of history,222,20,21.391891891891895,13.832368329361378
History (General) and history of Europe,544,20,22.273897058823525,13.37875706431911
History America,88,20,22.511363636363637,12.486309116808759
Music and books on Music,95,19,21.42105263157895,13.5454938313632
Fine Arts,640,16,18.9453125,12.09813071202953
General Works,310,16,17.69354838709678,10.086340389314026
Geography. Anthropology. Recreation,1155,16,18.55930735930736,11.025285553228622
Language and Literature,1727,16,19.493341053850614,11.755614851884134
Political science,559,15,17.923076923076923,11.929128554856879
Agriculture,965,14,16.46113989637305,10.065439037351569
Bibliography. Library science. Information resources,191,14,16.82198952879581,10.963563491948912
Education,1845,14,17.059078590785894,11.042772305529056
Medicine,4667,14,16.275551746303876,10.095617027520666
Philosophy. Psychology. Religion,1332,14,17.24324324324325,10.303260014870407
Social Sciences,2771,14,17.328040418621455,11.59205521626751
Science,2473,13,16.80226445612617,12.303805080772106
Technology,2529,13,15.96678529062874,10.030436473072973
Law,846,12,15.815602836879432,9.919393117205983
Military Science,65,12,13.538461538461538,7.015778919418274
